0,0.353,1.225,0.568,82
100-0,-0.7008,-0.4567,0.5405,-0.0893,0.357,1.232,0.567,82
100-0,-0.7005,-0.4550,0.5419,-0.0918,0.398,1.183,0.562,82
100-0,-0.7000,-0.4524,0.5441,-0.0955,0.427,1.177,0.551,82
100-0,-0.6995,-0.4498,0.5462,-0.0992,0.476,1.126,0.559,82
100-0,-0.6991,-0.4482,0.5476,-0.1017,0.496,1.102,0.575,82
100-0,-0.6985,-0.4457,0.5497,-0.1054,0.490,1.047,0.584,82
100-0,-0.6980,-0.4440,0.5512,-0.1079,0.480,1.024,0.584,82
100-0,-0.6971,-0.4407,0.5540,-0.1129,0.431,0.955,0.588,83
100-0,-0.6968,-0.4399,0.5547,-0.1141,0.446,0.935,0.591,83
100-0,-0.6961,-0.4374,0.5568,-0.1179,0.369,0.897,0.591,82
100-0,-0.6955,-0.4358,0.5582,-0.1204,0.348,0.870,0.598,82
100-0,-0.6947,-0.4334,0.5603,-0.1242,0.337,0.800,0.613,82
100-0,-0.6939,-0.4311,0.5623,-0.1278,0.324,0.759,0.625,83
100-0,-0.6933,-0.4296,0.5636,-0.1302,0.294,0.731,0.630,82
100-0,-0.6924,-0.4275,0.5654,-0.1336,0.290,0.689,0.619,82
100-0,-0.6919,-0.4262,0.5666,-0.1357,0.289,0.625,0.610,82
100-0,-0.6910,-0.4244,0.5684,-0.1388,0.268,0.583,0.595,83
100-0,-0.6904,-0.4232,0.5695,-0.1408,0.246,0.551,0.583,82
100-0,-0.6895,-0.4216,0.5710,-0.1436,0.215,0.503,0.567,83
100-0,-0.6889,-0.4206,0.5720,-0.1453,0.218,0.463,0.557,82
100-0,-0.6881,-0.4192,0.5734,-0.1478,0.192,0.441,0.539,83
100-0,-0.6872,-0.4180,0.5747,-0.1501,0.183,0.446,0.510,82
100-0,-0.6867,-0.4172,0.5755,-0.1516,0.174,0.468,0.481,82
100-0,-0.6858,-0.4162,0.5767,-0.1536,0.206,0.426,0.466,83
