,0.4635,0.106,0.535,0.645,81
100-0,-0.1493,-0.1909,0.8511,0.4656,0.110,0.528,0.619,81
100-0,-0.1495,-0.1907,0.8509,0.4660,0.112,0.529,0.614,81
100-0,-0.1502,-0.1896,0.8500,0.4677,0.112,0.521,0.596,81
100-0,-0.1504,-0.1893,0.8498,0.4682,0.113,0.520,0.588,81
100-0,-0.1511,-0.1883,0.8490,0.4698,0.115,0.518,0.572,81
100-0,-0.1513,-0.1880,0.8488,0.4703,0.119,0.519,0.564,81
100-0,-0.1520,-0.1870,0.8477,0.4724,0.108,0.541,0.535,81
100-0,-0.1524,-0.1863,0.8469,0.4741,0.103,0.553,0.520,81
100-0,-0.1526,-0.1857,0.8457,0.4762,0.112,0.569,0.502,81
100-0,-0.1527,-0.1855,0.8446,0.4784,0.122,0.580,0.481,80
100-0,-0.1527,-0.1854,0.8443,0.4788,0.119,0.582,0.479,81
100-0,-0.1526,-0.1853,0.8434,0.4805,0.117,0.607,0.470,81
100-0,-0.1526,-0.1853,0.8432,0.4809,0.114,0.615,0.466,81
100-0,-0.1525,-0.1852,0.8423,0.4825,0.111,0.652,0.453,81
100-0,-0.1525,-0.1852,0.8421,0.4829,0.107,0.662,0.452,80
100-0,-0.1524,-0.1850,0.8412,0.4845,0.111,0.695,0.442,81
100-0,-0.1524,-0.1850,0.8410,0.4848,0.112,0.707,0.442,80
100-0,-0.1556,-0.1759,0.8352,0.4971,0.353,0.626,0.637,81
100-0,-0.1562,-0.1746,0.8352,0.4974,0.379,0.596,0.651,80
100-0,-0.1563,-0.1742,0.8352,0.4974,0.385,0.590,0.651,80
100-0,-0.1571,-0.1726,0.8353,0.4977,0.393,0.573,0.659,80
100-0,-0.1573,-0.1722,0.8353,0.4977,0.393,0.569,0.666,81
100-0,-0.1581,-0.1703,0.8355,0.4978,0.368,0.553,0.679,81
100-0,-0.1584,-0.1698,0.8355,0.4978,0.364,0.550,0.683,81
100-0,-0.1589,-0.1688,0.8356,0.4978,0.351,0.550,0.685,81
100-0,-0.1596,-0.1672,0.8358,0.4978,0.323,0.541,0.681,81
100-0,-0.1601,-0.1661,0.8360,0.4978,0.307,0.541,0.673,81
100-0,-0.1609,-0.1644,0.8362,0.4977,0.292,0.539,0.666,81
100-0,-0.1615,-0.1633,0.8363,0.4976,0.277,0.541,0.665,81
100-0,-0.1623,-0.1616,0.8366,0.4975,0.260,0.550,0.654,81
100-0,-0.1635,-0.1592,0.8370,0.4973,0.239,0.564,0.624,80
100-0,-0.1637,-0.1586,0.8371,0.4972,0.233,0.564,0.625,81
100-0,-0.1649,-0.1562,0.8375,0.4969,0.214,0.570,0.598,81
100-0,-0.1652,-0.1556,0.8376,0.4968,0.207,0.575,0.596,81
100-0,-0.1664,-0.1532,0.8380,0.4965,0.169,0.597,0.580,81
100-0,-0.1667,-0.1526,0.8381,0.4964,0.152,0.603,0.575,81
100-0,-0.1675,-0.1507,0.8384,0.4961,0.090,0.636,0.557,81
100-0,-0.1681,-0.1495,0.8387,0.4958,-0.027,0.693,0.536,81
100-0,-0.1694,-0.1470,0.8391,0.4953,-0.017,0.630,0.512,81
100-0,-0.1697,-0.1464,0.8393,0.4952,0.066,0.568,0.520,81
100-0,-0.1708,-0.1444,0.8397,0.4947,0.166,0.447,0.525,81
100-0,-0.1730,-0.1403,0.8405,0.4938,0.061,0.572,0.449,81
100-0,-0.1734,-0.1395,0.8406,0.4936,0.085,0.580,0.444,80
100-0,-0.1752,-0.1365,0.8413,0.4928,0.123,0.458,0.510,81
100-0,-0.1756,-0.1357,0.8414,0.4925,0.123,0.440,0.528,81
100-0,-0.1775,-0.1325,0.8421,0.4917,0.162,0.425,0.540,81
100-0,-0.1780,-0.1316,0.8422,0.4914,0.159,0.417,0.541,81
100-0,-0.1799,-0.1284,0.8429,0.4905,0.148,0.411,0.554,80
100-0,-0.1804,-0.1275,0.8430,0.4903,0.136,0.415,0.554,81
100-0,-0.1822,-0.1243,0.8437,0.4893,0.113,0.432,0.559,81
100-0,-0.1827,-0.1236,0.8438,0.4891,0.107,0.437,0.561,80
100-0,-0.1845,-0.1205,0.8444,0.4881,0.082,0.429,0.576,81
100-0,-0.1849,-0.1198,0.8446,0.4879,0.079,0.434,0.576,80
100-0,-0.1864,-0.1170,0.8451,0.4869,0.084,0.434,0.554,81
100-0,-0.1868,-0.1164,0.8453,0.4867,0.087,0.432,0.548,81
100-0,-0.1882,-0.1139,0.8458,0.4858,0.108,0.400,0.548,81
100-0,-0.1885,-0.1134,0.8460,0.4856,0.113,0.392,0.544,81
100-0,-0.1896,-0.1112,0.8465,0.4847,0.137,0.377,0.551,80
100-0,-0.1899,-0.1107,0.8466,0.4845,0.141,0.376,0.549,81
100-0,-0.1908,-0.1088,0.8471,0.4837,0.174,0.366,0.570,81
100-0,-0.1910,-0.1084,0.8472,0.4835,0.176,0.368,0.571,80
100-0,-0.1918,-0.1068,0.8477,0.4827,0.205,0.346,0.600,81
100-0,-0.1920,-0.1064,0.8478,0.4825,0.212,0.343,0.608,80
100-0,-0.1926,-0.1049,0.8483,0.4818,0.218,0.345,0.634,81
100-0,-0.1927,-0.1046,0.8484,0.4816,0.220,0.349,0.637,81
100-0,-0.1932,-0.1034,0.8489,0.4808,0.214,0.369,0.652,81
100-0,-0.1933,-0.1031,0.8490,0.4806,0.209,0.373,0.650,81
100-0,-0.1935,-0.1023,0.8494,0.4801,0.193,0.392,0.661,81
100-0,-0.1938,-0.1011,0.8501,0.4790,0.162,0.413,0.653,81
100-0,-0.1938,-0.1009,0.8502,0.4788,0.159,0.414,0.652,81
100-0,-0.1939,-0.1002,0.8506,0.4781,0.147,0.420,0.657,81
100-0,-0.1939,-0.1001,0.8508,0.4779,0.144,0.428,0.666,81
100-0,-0.1938,-0.0996,0.8512,0.4772,0.136,0.444,0.669,81
100-0,-0.1938,-0.0995,0.8514,0.4770,0.137,0.439,0.664,81
100-0,-0.1938,-0.0993,0.8516,0.4767,0.133,0.443,0.671,81
100-0,-0.1937,-0.0990,0.8520,0.4761,0.132,0.454,0.680,81
100-0,-0.1936,-0.0986,0.8525,0.4753,0.121,0.462,0.699,81
100-0,-0.1936,-0.0985,0.8526,0.4751,0.119,0.461,0.697,81
100-0,-0.1934,-0.0982,0.8533,0.4741,0.103,0.472,0.714,81
100-0,-0.1933,-0.0979,0.8538,0.4732,0.091,0.465,0.721,81
100-0,-0.1932,-0.0979,0.8539,0.4730,0.088,0.466,0.719,80
100-0,-0.1931,-0.0976,0.8545,0.4721,0.082,0.456,0.725,81
100-0,-0.1931,-0.0976,0.8546,0.4719,0.081,0.447,0.720,81
100-0,-0.1930,-0.0973,0.8552,0.4709,0.078,0.430,0.714,81
100-0,-0.1930,-0.0972,0.8554,0.4706,0.079,0.426,0.715,81
100-0,-0.1930,-0.0970,0.8557,0.4701,0.082,0.417,0.708,81
100-0,-0.1930,-0.0968,0.8561,0.4693,0.078,0.397,0.712,81
100-0,-0.1930,-0.0965,0.8567,0.4683,0.091,0.374,0.698,81
100-0,-0.1930,-0.0964,0.8569,0.4680,0.091,0.372,0.697,81
100-0,-0.1930,-0.0962,0.8572,0.4674,0.100,0.355,0.694,81
100-0,-0.1930,-0.0960,0.8577,0.4666,0.111,0.333,0.694,81
100-0,-0.1930,-0.0958,0.8583,0.4655,0.114,0.326,0.703,81
100-0,-0.1930,-0.0958,0.8585,0.4652,0.117,0.324,0.706,81
100-0,-0.1928,-0.0957,0.8592,0.4641,0.109,0.343,0.713,81
100-0,-0.1928,-0.0957,0.8593,0.4638,0.110,0.340,0.714,81
100-0,-0.1926,-0.0957,0.8600,0.4627,0.114,0.366,0.726,81
100-0,-0.1925,-0.0958,0.8601,0.4624,0.117,0.364,0.732,80
100-0,-0.1922,-0.0960,0.8608,0.4612,0.120,0.402,0.761,81
100-0,-0.1922,-0.0961,0.8609,0.4610,0.120,0.406,0.763,80
100-0,-0.1918,-0.0964,0.8616,0.4598,0.141,0.433,0.790,81
100-0,-0.1917,-0.0965,0.8618,0.4595,0.135,0.445,0.800,81
100-0,-0.1912,-0.0970,0.8624,0.4584,0.144,0.454,0.840,81
100-0,-0.1911,-0.0971,0.8626,0.4581,0.138,0.468,0.837,81
100-0,-0.1906,-0.0976,0.8633,0.4568,0.142,0.487,0.843,81
100-0,-0.1905,-0.0977,0.8635,0.4565,0.136,0.497,0.843,81
100-0,-0.1902,-0.0981,0.8639,0.4558,0.138,0.532,0.855,81
100-0,-0.1900,-0.0984,0.8643,0.4551,0.141,0.530,0.860,81
100-0,-0.1895,-0.0988,0.8648,0.4542,0.146,0.561,0.887,81
100-0,-0.1888,-0.0997,0.8657,0.4525,0.158,0.645,0.892,81
100-0,-0.1886,-0.0999,0.8659,0.4522,0.161,0.655,0.896,81
100-0,-0.1881,-0.1005,0.8665,0.4512,0.156,0.693,0.911,81
100-0,-0.1877,-0.1009,0.8669,0.4505,0.146,0.722,0.925,81
100-0,-0.1874,-0.1014,0.8673,0.4497,0.127,0.747,0.932,81
100-0,-0.1868,-0.1020,0.8679,0.4487,0.116,0.802,0.951,81
100-0,-0.1864,-0.1025,0.8683,0.4479,0.101,0.823,0.961,80
100-0,-0.1859,-0.1032,0.8689,0.4468,0.094,0.884,0.974,81
100-0,-0.1854,-0.1038,0.8694,0.4460,0.101,0.900,0.978,81
100-0,-0.1848,-0.1046,0.8700,0.4448,0.101,0.977,1.000,81
100-0,-0.1843,-0.1053,0.8704,0.4440,0.121,0.991,1.024,81
100-0,-0.1835,-0.1063,0.8711,0.4428,0.131,1.077,1.055,81
100-0,-0.1830,-0.1070,0.8716,0.4419,0.139,1.128,1.070,81
100-0,-0.1821,-0.1082,0.8722,0.4406,0.157,1.173,1.094,81
